product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,inserted_at
14132fa6062431ce5af633fd3368f0ee,pet_shop,38.0,346.0,1.0,833.0,60.0,8.0,49.0,2024-01-23 12:52:53.013785
39af958c865cffb372490d50c207d776,cama_mesa_banho,53.0,294.0,1.0,2850.0,42.0,12.0,40.0,2024-01-23 12:52:53.013785
d9965bb41ec6a56e7cfc31ede4bc4276,brinquedos,58.0,916.0,11.0,200.0,16.0,15.0,20.0,2024-01-23 12:52:53.013785
a646939770b864f77ca0e16b99a8f526,moveis_decoracao,50.0,598.0,2.0,700.0,80.0,20.0,20.0,2024-01-23 12:52:53.013785
01d4157fd9738ea81038316ae4cfc192,cama_mesa_banho,52.0,228.0,1.0,355.0,34.0,21.0,40.0,2024-01-23 12:52:53.013785
f62ed10e188737a0f5e98e5d7c21c442,utilidades_domesticas,31.0,397.0,1.0,1500.0,16.0,24.0,11.0,2024-01-23 12:52:53.013785
34ae7b24b85953dee979789e3b5b11de,fashion_bolsas_e_acessorios,58.0,593.0,4.0,100.0,16.0,5.0,11.0,2024-01-23 12:52:53.013785
17619e7c2727f3ee8c7877eea79ce30a,automotivo,56.0,588.0,5.0,2000.0,68.0,9.0,35.0,2024-01-23 12:52:53.013785
496fed872fd7153d485440dbe74e2cd9,esporte_lazer,60.0,267.0,1.0,400.0,16.0,28.0,11.0,2024-01-23 12:52:53.013785
ba8ebd875851a6e44d2290d2cbea64cd,beleza_saude,53.0,421.0,2.0,350.0,22.0,12.0,17.0,2024-01-23 12:52:53.013785
75e229131273655c63aa4ab2fd457c0d,consoles_games,39.0,296.0,4.0,700.0,27.0,15.0,22.0,2024-01-23 12:52:53.013785
2fde0c9154180a1b4d37c3e829ff3bcf,papelaria,59.0,296.0,1.0,650.0,16.0,10.0,11.0,2024-01-23 12:52:53.013785
d7d5562fce331ad958ca6f57057b3526,cool_stuff,33.0,910.0,1.0,700.0,42.0,25.0,15.0,2024-01-23 12:52:53.013785
43e09fcb6175856e87a4d9b91321addb,brinquedos,43.0,1505.0,1.0,6038.0,49.0,19.0,44.0,2024-01-23 12:52:53.013785
e4c9d4670d5132aeded7f187fe4de0cc,perfumaria,60.0,412.0,1.0,450.0,23.0,8.0,18.0,2024-01-23 12:52:53.013785
e65ab426efaf65e083b917d2e9eac80d,livros_tecnicos,26.0,445.0,1.0,500.0,22.0,22.0,13.0,2024-01-23 12:52:53.013785
c551ffaf36e5c1d8444b44bb7c78123b,brinquedos,58.0,1299.0,2.0,1110.0,54.0,10.0,31.0,2024-01-23 12:52:53.013785
85e8e8aad6ad12d67c21300379760196,ferramentas_jardim,56.0,1602.0,4.0,6050.0,54.0,48.0,28.0,2024-01-23 12:52:53.013785
7dad8823339023bc68054e62d1e9a761,artigos_de_natal,26.0,147.0,1.0,200.0,16.0,9.0,11.0,2024-01-23 12:52:53.013785
ee47f3323aacfeba9e122400e5200fe5,ferramentas_jardim,39.0,304.0,2.0,3600.0,35.0,33.0,14.0,2024-01-23 12:52:53.013785
b07c988c725ddd67d0c7572a8099712d,moveis_decoracao,59.0,586.0,1.0,600.0,24.0,2.0,24.0,2024-01-23 12:52:53.013785
10168fab995250ab1d4349ecc8321ec7,informatica_acessorios,59.0,181.0,3.0,100.0,16.0,8.0,11.0,2024-01-23 12:52:53.013785
9c62adfd2a4126042e0410e01a0f1630,moveis_decoracao,60.0,1490.0,3.0,2550.0,105.0,3.0,70.0,2024-01-23 12:52:53.013785
b532439c5052d3a85fcfedbe20e0a107,moveis_decoracao,38.0,818.0,4.0,500.0,16.0,14.0,23.0,2024-01-23 12:52:53.013785
1ea8d02d9ad9f5e5987010de353fa800,ferramentas_jardim,48.0,1100.0,2.0,1700.0,21.0,17.0,17.0,2024-01-23 12:52:53.013785
891f85176bb33d23b19f1cc30eb2660f,audio,32.0,469.0,1.0,2000.0,31.0,31.0,31.0,2024-01-23 12:52:53.013785
66a4ac0f9c73e92afc9cb7566977ef83,utilidades_domesticas,58.0,547.0,5.0,1000.0,18.0,12.0,82.0,2024-01-23 12:52:53.013785
fdad06d08341796c0a7975fcaaba7a2e,utilidades_domesticas,60.0,555.0,6.0,650.0,52.0,8.0,12.0,2024-01-23 12:52:53.013785
c81ab664e91744dcc7c09dd12d97aeae,livros_interesse_geral,45.0,301.0,1.0,1400.0,26.0,7.0,26.0,2024-01-23 12:52:53.013785
810cfa5dd36b001cfc186499381f72ab,moveis_decoracao,60.0,1971.0,2.0,650.0,60.0,7.0,14.0,2024-01-23 12:52:53.013785
9e982c02ee2aca70d2bcd8799a2487d2,construcao_ferramentas_construcao,45.0,1144.0,1.0,10100.0,48.0,34.0,37.0,2024-01-23 12:52:53.013785
32cb6749793d719633c12cfa2df51268,relogios_presentes,55.0,557.0,2.0,200.0,20.0,7.0,15.0,2024-01-23 12:52:53.013785
5f7403b0168eeb77bd69d462d1150222,cool_stuff,26.0,539.0,3.0,1400.0,30.0,30.0,25.0,2024-01-23 12:52:53.013785
4a69baa66a13d1adeb41cfe3bc0c27be,cool_stuff,55.0,963.0,2.0,500.0,45.0,8.0,49.0,2024-01-23 12:52:53.013785
9f05bf9bbb9b5629e674ce58804cd164,moveis_escritorio,34.0,1058.0,1.0,3125.0,45.0,55.0,16.0,2024-01-23 12:52:53.013785
